fit,Tave_K,ln_k1_ref,k1_ref_at_Tave,E1_J_per_mol,E1_kJ_per_mol,n1_CO2,n1_H2,ln_k2_ref,k2_ref_at_Tave,E2_J_per_mol,E2_kJ_per_mol,n2_CO2,n2_H2
GHSV_4000,507.1499999999998,-6.714647050436862,0.0012130140691632091,-5037.54738227244,-5.0375473822724395,0.23919315632687357,0.3676713560695701,-6.366065218374108,0.0017189094698863187,29911.695952886497,29.911695952886497,0.2238090283749652,-0.5104333187208359
GHSV_8000,505.6499999999999,-6.343256156723924,0.0017585667351565908,6736.853985195074,6.736853985195074,0.11514997968294506,0.5521287510351258,-5.813045331132975,0.0029883157902549848,37024.69416363887,37.02469416363887,0.32506106914346816,-0.3549394598886302
GHSV_12000,504.0195652173912,-5.931219252038904,0.00265524260440546,8230.286375951884,8.230286375951884,0.18498762034397132,0.46620278323525777,-5.584916934439156,0.003754061590050738,48972.84180754738,48.97284180754738,0.3787955330446524,-0.2770655933615687
