rate,factor_tested,H/C,GHSV,n_levels,levels_tested,Ea_min,Ea_max,Ea_range,lnk_ref_min,lnk_ref_max,lnk_ref_range,pass
r_CH3OH,p,2,4000,5,"3, 4, 5, 6, 7",-13.351446498022316,11.376548556044414,24.72799505406673,-6.677517997031208,-5.875256902446974,0.8022610945842334,False
r_CH3OH,p,2,8000,5,"3, 4, 5, 6, 7",-3.2799139797239563,17.265398713042053,20.54531269276601,-6.0587543439893325,-5.285797198714661,0.7729571452746713,False
r_CH3OH,p,2,12000,5,"3, 4, 5, 6, 7",-0.5879398260538584,16.335361371861573,16.923301197915432,-5.679502997310253,-4.940252624303801,0.7392503730064526,False
r_CH3OH,p,3,4000,5,"3, 4, 5, 6, 7",-14.009234343184701,14.339825270488557,28.34905961367326,-6.564788223120235,-5.796727445451964,0.7680607776682713,False
r_CH3OH,p,3,8000,5,"3, 4, 5, 6, 7",-2.6718605412668186,19.46225311235932,22.134113653626137,-5.948720567257561,-5.214689689597209,0.7340308776603521,False
r_CH3OH,p,3,12000,5,"3, 4, 5, 6, 7",2.4455481947029147,18.82593791987381,16.380389725170893,-5.5838967540216675,-4.8582911056845965,0.725605648337071,False
r_CH3OH,p,4,4000,5,"3, 4, 5, 6, 7",-10.88161005085193,8.495790176680762,19.37740022753269,-6.575549397490249,-5.861101127049924,0.7144482704403252,False
r_CH3OH,p,4,8000,5,"3, 4, 5, 6, 7",1.980530639827745,17.66216292001638,15.681632280188637,-5.909398229461939,-5.266949811353662,0.6424484181082768,False
r_CH3OH,p,4,12000,5,"3, 4, 5, 6, 7",2.5962959505844947,19.767907681676025,17.17161173109153,-5.5769639701250435,-4.89157413952087,0.6853898306041737,False
