rate,factor_tested,p,GHSV,n_levels,levels_tested,Ea_min,Ea_max,Ea_range,lnk_ref_min,lnk_ref_max,lnk_ref_range,pass
r_CO,H/C,3,4000,3,"2, 3, 4",31.440199127340062,32.18051675569205,0.7403176283519848,-6.8074502198376745,-6.519863992484853,0.28758622735282113,False
r_CO,H/C,3,8000,3,"2, 3, 4",32.74633153112872,42.07370619451426,9.327374663385541,-6.114026387471429,-5.805921428774621,0.3081049586968083,False
r_CO,H/C,3,12000,3,"2, 3, 4",46.70187768449988,52.390767273584785,5.6888895890849085,-5.671222018304507,-5.423250278165432,0.2479717401390742,False
r_CO,H/C,4,4000,3,"2, 3, 4",27.795136894061333,31.04206506070934,3.246928166648008,-6.981391197718137,-6.65218424212745,0.3292069555906876,False
r_CO,H/C,4,8000,3,"2, 3, 4",28.059510491160157,34.88189296456269,6.822382473402531,-6.197424789140676,-5.9064019700820145,0.2910228190586617,False
r_CO,H/C,4,12000,3,"2, 3, 4",37.38027793294475,45.231053332314644,7.850775399369894,-5.767829636120885,-5.480842356127836,0.28698727999304907,False
r_CO,H/C,5,4000,3,"2, 3, 4",22.917869560142474,28.252985177606277,5.335115617463803,-7.145040909140431,-6.774034636350808,0.3710062727896233,False
r_CO,H/C,5,8000,3,"2, 3, 4",23.610665346151396,29.0287194884664,5.418054142315004,-6.334650392236189,-5.986417067642307,0.348233324593882,False
r_CO,H/C,5,12000,3,"2, 3, 4",30.992798452070254,38.12029262560912,7.127494173538864,-5.873464222884966,-5.551192080084322,0.3222721428006441,False
r_CO,H/C,6,4000,3,"2, 3, 4",14.811177066672581,18.60776449420453,3.79658742753195,-7.239342585257596,-6.886045259930571,0.3532973253270253,False
r_CO,H/C,6,8000,3,"2, 3, 4",18.172113689310006,24.29373408756781,6.121620398257804,-6.421243018253302,-6.075644044240582,0.3455989740127192,False
r_CO,H/C,6,12000,3,"2, 3, 4",27.403707359497037,30.839905988657847,3.4361986291608098,-5.979550476871984,-5.6481463784560075,0.33140409841597673,False
r_CO,H/C,7,4000,3,"2, 3, 4",13.22261039036255,20.225900522511314,7.003290132148763,-7.393218126172563,-6.988762248605969,0.40445587756659407,False
r_CO,H/C,7,8000,3,"2, 3, 4",13.205596119713748,22.553603182047134,9.348007062333386,-6.523099431513792,-6.145812058971645,0.3772873725421473,False
r_CO,H/C,7,12000,3,"2, 3, 4",18.3977818724487,28.23783974290636,9.84005787045766,-6.049642277159315,-5.671709484002349,0.3779327931569654,False
