p,H/C,GHSV,rate,n_points,T_min_C,T_max_C,lnA,A,Ea_J_mol,Ea_kJ_mol,R2_ln,RMSE_ln,status,cluster_id
3,2,4000,r_CH3OH,5,220,260,-9.747019886687516,5.846864755128603e-05,-13351.446498022317,-13.351446498022316,0.5426476732199217,0.0792982684254209,ok,4
3,2,8000,r_CH3OH,5,220,260,-6.812807634032782,0.001099601283938135,-3279.9139797239563,-3.2799139797239563,0.08834951880839592,0.06816217701926686,ok,5
3,2,12000,r_CH3OH,5,220,260,-5.814670554424296,0.002983463054288747,-587.9398260538584,-0.5879398260538584,0.0037924155962275607,0.06164796568355332,ok,5
3,3,4000,r_CH3OH,5,220,260,-9.785515752187072,5.6260619016178966e-05,-14009.234343184702,-14.009234343184701,0.5982480702166453,0.07427140560466668,ok,4
3,3,8000,r_CH3OH,5,220,260,-6.562982174157715,0.001411669582309797,-2671.8605412668185,-2.6718605412668186,0.06823526221082321,0.06387507155295165,ok,5
3,3,12000,r_CH3OH,5,220,260,-5.021664429157235,0.006593543085757418,2445.5481947029148,2.4455481947029147,0.06254274774538182,0.06125370944599891,ok,6
3,4,4000,r_CH3OH,5,220,260,-9.077235085145187,0.00011423702685447472,-10881.610050851928,-10.88161005085193,0.4698371021647706,0.074781311964026,ok,4
3,4,8000,r_CH3OH,5,220,260,-5.454073591612851,0.004278838898402941,1980.5306398277448,1.980530639827745,0.053726067595672666,0.053773262573130136,ok,6
3,4,12000,r_CH3OH,5,220,260,-4.980074687184309,0.006873549172290957,2596.2959505844947,2.5962959505844947,0.0658916817986035,0.06324212145360654,ok,6
4,2,4000,r_CH3OH,5,220,260,-6.160130819809147,0.002111976965236411,771.4596264991329,0.7714596264991329,0.0031837140942241327,0.08831259481791673,ok,5
4,2,8000,r_CH3OH,5,220,260,-4.329186529929378,0.01317826325375203,6129.67922797766,6.12967922797766,0.3130834840017015,0.05873927187287337,ok,7
4,2,12000,r_CH3OH,5,220,260,-3.2728163878856753,0.03789953682723649,9273.781916116393,9.273781916116393,0.612699574298001,0.04770083561796566,ok,1
4,3,4000,r_CH3OH,5,220,260,-6.539742511412765,0.0014448604862126063,-1399.4296676017289,-1.3994296676017288,0.01820590456533,0.06648505985309092,ok,5
4,3,8000,r_CH3OH,5,220,260,-3.965570883810983,0.018957211157734202,7287.426345640466,7.287426345640466,0.4035939720616265,0.05731149868571243,ok,7
4,3,12000,r_CH3OH,5,220,260,-2.7736540183021834,0.06243345444775056,10935.767471216272,10.935767471216272,0.6575444916337005,0.051057281061432674,ok,1
4,4,4000,r_CH3OH,5,220,260,-6.763058033771604,0.001155689626727524,-2209.7002799015395,-2.2097002799015395,0.037282150346580445,0.07264426205530129,ok,5
4,4,8000,r_CH3OH,5,220,260,-3.8457913475332726,0.021369484179682992,7778.4877372476985,7.778487737247699,0.393832412272462,0.06243163509253734,ok,7
4,4,12000,r_CH3OH,5,220,260,-2.503598693520984,0.0817901307589447,12136.013163340864,12.136013163340865,0.6649909189333756,0.05572696378759532,ok,1
5,2,4000,r_CH3OH,5,220,260,-5.010144838451781,0.0066699371729167295,4695.956066157654,4.695956066157654,0.15483900996195166,0.07097778860162823,ok,6
5,2,8000,r_CH3OH,5,220,260,-2.527790715204065,0.07983520429694124,12978.046862497984,12.978046862497983,0.6986739852837422,0.05513904956472149,ok,1
5,2,12000,r_CH3OH,5,220,260,-1.7468493079038856,0.17432231506200224,14943.694073610686,14.943694073610686,0.8320421655502975,0.04343645201905053,ok,3
5,3,4000,r_CH3OH,5,220,260,-5.147058215108647,0.0058164904469813015,3751.541448868015,3.7515414488680148,0.1051841466243354,0.07078974543109877,ok,6
5,3,8000,r_CH3OH,5,220,260,-2.1617870446486833,0.1151192139350435,14193.147336983042,14.193147336983042,0.7068258299818327,0.05913631625998914,ok,1
5,3,12000,r_CH3OH,5,220,260,-1.1427521975219184,0.3189400268357379,17172.59823487957,17.17259823487957,0.8474244922972318,0.04714078668942347,ok,3
5,4,4000,r_CH3OH,5,220,260,-4.546308339435334,0.010606287011066121,6414.31770399186,6.41431770399186,0.19440123706066226,0.08447520620430453,ok,7
5,4,8000,r_CH3OH,5,220,260,-1.8654939533508939,0.15481971727643906,15517.36325012418,15.517363250124179,0.7029819464375375,0.06525385523072366,ok,3
5,4,12000,r_CH3OH,5,220,260,-1.1948332374761788,0.30275443806680596,16966.47442427699,16.96647442427699,0.8264971105402337,0.05029133951838201,ok,3
6,2,4000,r_CH3OH,5,220,260,-3.3218490650670107,0.03608604458171914,11376.548556044414,11.376548556044414,0.45626878184546404,0.0803454323168728,ok,1
