p,H/C,GHSV,rate,n_points,T_min_C,T_max_C,lnA,A,Ea_J_mol,Ea_kJ_mol,R2_ln,RMSE_ln,status
3,2,4000,r_CO,5,220,260,0.788829347666428,2.200818524295631,31790.704684142765,31.790704684142767,0.999002637498745,0.006498487165840634,ok
3,2,4000,r_CH3OH,5,220,260,-9.747019886687516,5.846864755128603e-05,-13351.446498022317,-13.351446498022316,0.5426476732199217,0.0792982684254209,ok
3,2,8000,r_CO,5,220,260,3.8668373010031196,47.79099826768587,42073.706194514256,42.07370619451426,0.9603960937298849,0.055274331627884414,ok
3,2,8000,r_CH3OH,5,220,260,-6.812807634032782,0.001099601283938135,-3279.9139797239563,-3.2799139797239563,0.08834951880839592,0.06816217701926686,ok
3,2,12000,r_CO,5,220,260,6.6214041471534175,750.9988700382014,52390.76727358479,52.390767273584785,0.95739301325623,0.07150212564259216,ok
3,2,12000,r_CH3OH,5,220,260,-5.814670554424296,0.002983463054288747,-587.9398260538584,-0.5879398260538584,0.0037924155962275607,0.06164796568355332,ok
3,3,4000,r_CO,5,220,260,0.5427001858072373,1.7206466608995055,31440.199127340064,31.440199127340062,0.9972901269374946,0.010602735135847327,ok
3,3,4000,r_CH3OH,5,220,260,-9.785515752187072,5.6260619016178966e-05,-14009.234343184702,-14.009234343184701,0.5982480702166453,0.07427140560466668,ok
3,3,8000,r_CO,5,220,260,2.9150700336878073,18.450104486359315,38575.53918997201,38.57553918997201,0.9759403840112909,0.0391844374829291,ok
3,3,8000,r_CH3OH,5,220,260,-6.562982174157715,0.001411669582309797,-2671.8605412668185,-2.6718605412668186,0.06823526221082321,0.06387507155295165,ok
3,3,12000,r_CO,5,220,260,5.571499997911645,262.8280452262973,48374.48608058124,48.37448608058124,0.9466692118293523,0.07428055657803392,ok
3,3,12000,r_CH3OH,5,220,260,-5.021664429157235,0.006593543085757418,2445.5481947029148,2.4455481947029147,0.06254274774538182,0.06125370944599891,ok
3,4,4000,r_CO,5,220,260,0.5908610422675019,1.8055423945984763,32180.51675569205,32.18051675569205,0.9959829503563411,0.013221769192095945,ok
3,4,4000,r_CH3OH,5,220,260,-9.077235085145187,0.00011423702685447472,-10881.610050851928,-10.88161005085193,0.4698371021647706,0.074781311964026,ok
3,4,8000,r_CO,5,220,260,1.414365875419359,4.11387692819278,32746.331531128715,32.74633153112872,0.9525462981096325,0.047285018889231166,ok
3,4,8000,r_CH3OH,5,220,260,-5.454073591612851,0.004278838898402941,1980.5306398277448,1.980530639827745,0.053726067595672666,0.053773262573130136,ok
3,4,12000,r_CO,5,220,260,5.0655548413641505,158.46834247735146,46701.87768449988,46.70187768449988,0.9546604383371087,0.06584418830433228,ok
3,4,12000,r_CH3OH,5,220,260,-4.980074687184309,0.006873549172290957,2596.2959505844947,2.5962959505844947,0.0658916817986035,0.06324212145360654,ok
4,2,4000,r_CO,5,220,260,0.4843966052582828,1.623195285793858,31042.06506070934,31.04206506070934,0.9886299941357933,0.021536888931921135,ok
4,2,4000,r_CH3OH,5,220,260,-6.160130819809147,0.002111976965236411,771.4596264991329,0.7714596264991329,0.0031837140942241327,0.08831259481791673,ok
4,2,8000,r_CO,5,220,260,2.1129565604992218,8.272663794520591,34881.892964562685,34.88189296456269,0.9640117579428127,0.04360217026538652,ok
4,2,8000,r_CH3OH,5,220,260,-4.329186529929378,0.01317826325375203,6129.67922797766,6.12967922797766,0.3130834840017015,0.05873927187287337,ok
4,2,12000,r_CO,5,220,260,4.917791506895938,136.7003777253187,45231.053332314645,45.231053332314644,0.947906054343084,0.06859881123867141,ok
4,2,12000,r_CH3OH,5,220,260,-3.2728163878856753,0.03789953682723649,9273.781916116393,9.273781916116393,0.612699574298001,0.04770083561796566,ok
4,3,4000,r_CO,5,220,260,-0.25783793162643437,0.7727204555067224,28312.433441638244,28.312433441638245,0.7880123979663441,0.09500245204697863,ok
4,3,4000,r_CH3OH,5,220,260,-6.539742511412765,0.0014448604862126063,-1399.4296676017289,-1.3994296676017288,0.01820590456533,0.06648505985309092,ok
4,3,8000,r_CO,5,220,260,0.8985875559569336,2.4561315116914337,30293.876794659875,30.293876794659873,0.9840619474414122,0.024941936735792057,ok
4,3,8000,r_CH3OH,5,220,260,-3.965570883810983,0.018957211157734202,7287.426345640466,7.287426345640466,0.4035939720616265,0.05731149868571243,ok
4,3,12000,r_CO,5,220,260,3.803639394751764,44.86416614693722,41073.909231497935,41.073909231497936,0.9419507917325552,0.06596582405678732,ok
4,3,12000,r_CH3OH,5,220,260,-2.7736540183021834,0.06243345444775056,10935.767471216272,10.935767471216272,0.6575444916337005,0.051057281061432674,ok
4,4,4000,r_CO,5,220,260,-0.5912801912279693,0.5536180938539951,27795.136894061332,27.795136894061333,0.9748358289499159,0.028891048320574982,ok
4,4,4000,r_CH3OH,5,220,260,-6.763058033771604,0.001155689626727524,-2209.7002799015395,-2.2097002799015395,0.037282150346580445,0.07264426205530129,ok
4,4,8000,r_CO,5,220,260,0.25346579325464047,1.288483303911178,28059.510491160156,28.059510491160157,0.9059874701787877,0.05847641973705838,ok
4,4,8000,r_CH3OH,5,220,260,-3.8457913475332726,0.021369484179682992,7778.4877372476985,7.778487737247699,0.393832412272462,0.06243163509253734,ok
4,4,12000,r_CO,5,220,260,2.825908410767711,16.876268609086477,37380.27793294475,37.38027793294475,0.9358474600121671,0.06331634424016437,ok
4,4,12000,r_CH3OH,5,220,260,-2.503598693520984,0.0817901307589447,12136.013163340864,12.136013163340865,0.6649909189333756,0.05572696378759532,ok
5,2,4000,r_CO,5,220,260,-0.46572748606158343,0.6276783118313707,27439.313751199184,27.439313751199183,0.9900480199062275,0.017797900544560936,ok
5,2,4000,r_CH3OH,5,220,260,-5.010144838451781,0.0066699371729167295,4695.956066157654,4.695956066157654,0.15483900996195166,0.07097778860162823,ok
5,2,8000,r_CO,5,220,260,0.6872949782659015,1.9883297769719623,29028.7194884664,29.0287194884664,0.9624543818224209,0.03709252018616898,ok
5,2,8000,r_CH3OH,5,220,260,-2.527790715204065,0.07983520429694124,12978.046862497984,12.978046862497983,0.6986739852837422,0.05513904956472149,ok
5,2,12000,r_CO,5,220,260,3.212675585182565,24.845473553400126,38120.292625609116,38.12029262560912,0.9360420989396401,0.06446508308471431,ok
5,2,12000,r_CH3OH,5,220,260,-1.7468493079038856,0.17432231506200224,14943.694073610686,14.943694073610686,0.8320421655502975,0.04343645201905053,ok
5,3,4000,r_CO,5,220,260,-1.7208367010416454,0.17891638574083132,22917.869560142473,22.917869560142474,0.9333244062453236,0.03962874220160866,ok
5,3,4000,r_CH3OH,5,220,260,-5.147058215108647,0.0058164904469813015,3751.541448868015,3.7515414488680148,0.1051841466243354,0.07078974543109877,ok
5,3,8000,r_CO,5,220,260,-0.3038951780613562,0.7379382145108779,25536.41054776896,25.53641054776896,0.9789949910521363,0.0241991417121282,ok
5,3,8000,r_CH3OH,5,220,260,-2.1617870446486833,0.1151192139350435,14193.147336983042,14.193147336983042,0.7068258299818327,0.05913631625998914,ok
5,3,12000,r_CO,5,220,260,2.205657431418344,9.076216596793273,34475.55558134411,34.47555558134411,0.9352127051608181,0.058704299247616186,ok
5,3,12000,r_CH3OH,5,220,260,-1.1427521975219184,0.3189400268357379,17172.59823487957,17.17259823487957,0.8474244922972318,0.04714078668942347,ok
5,4,4000,r_CO,5,220,260,-0.6496704334440402,0.5222178539436012,28252.98517760628,28.252985177606277,0.9817625007746527,0.024912234045358358,ok
5,4,4000,r_CH3OH,5,220,260,-4.546308339435334,0.010606287011066121,6414.31770399186,6.41431770399186,0.19440123706066226,0.08447520620430453,ok
5,4,8000,r_CO,5,220,260,-0.9065507547332804,0.40391502603784096,23610.665346151396,23.610665346151396,0.9648372325909963,0.029160276175865554,ok
5,4,8000,r_CH3OH,5,220,260,-1.8654939533508939,0.15481971727643906,15517.36325012418,15.517363250124179,0.7029819464375375,0.06525385523072366,ok
