rate,factor_tested,H/C,GHSV,n_levels,levels_tested,Ea_min,Ea_max,Ea_range,lnk_ref_min,lnk_ref_max,lnk_ref_range,pass
r_CO,p,2,4000,5,"3, 4, 5, 6, 7",14.811177066672581,31.790704684142767,16.979527617470186,-6.988762248605969,-6.519863992484853,0.4688982561211157,False
r_CO,p,2,8000,5,"3, 4, 5, 6, 7",22.553603182047134,42.07370619451426,19.520103012467125,-6.145812058971645,-5.805921428774621,0.3398906301970239,False
r_CO,p,2,12000,5,"3, 4, 5, 6, 7",28.23783974290636,52.390767273584785,24.152927530678426,-5.671709484002349,-5.423250278165432,0.24845920583691683,False
r_CO,p,3,4000,5,"3, 4, 5, 6, 7",13.22261039036255,31.440199127340062,18.21758873697751,-7.228128251760047,-6.685411812906598,0.5427164388534491,False
r_CO,p,3,8000,5,"3, 4, 5, 6, 7",14.697999666904478,38.57553918997201,23.877539523067533,-6.342000340836665,-5.953458964699686,0.38854137613697937,False
r_CO,p,3,12000,5,"3, 4, 5, 6, 7",18.3977818724487,48.37448608058124,29.976704208132542,-5.85887907146057,-5.549810075681603,0.30906899577896674,False
r_CO,p,4,4000,5,"3, 4, 5, 6, 7",17.321949029185927,32.18051675569205,14.85856772650612,-7.393218126172563,-6.8074502198376745,0.5857679063348886,False
r_CO,p,4,8000,5,"3, 4, 5, 6, 7",13.205596119713748,32.74633153112872,19.54073541141497,-6.523099431513792,-6.114026387471429,0.4090730440423629,False
r_CO,p,4,12000,5,"3, 4, 5, 6, 7",18.788759458577136,46.70187768449988,27.91311822592274,-6.049642277159315,-5.671222018304507,0.378420258854808,False
