rate,factor_tested,p,H/C,n_levels,levels_tested,Ea_min,Ea_max,Ea_range,lnk_ref_min,lnk_ref_max,lnk_ref_range,pass
r_CH3OH,GHSV,3,2,3,"4000, 8000, 12000",-13.351446498022316,-0.5879398260538584,12.763506671968457,-6.677517997031208,-5.679502997310253,0.9980149997209544,False
r_CH3OH,GHSV,3,3,3,"4000, 8000, 12000",-14.009234343184701,2.4455481947029147,16.454782537887617,-6.564788223120235,-5.5838967540216675,0.9808914690985677,False
r_CH3OH,GHSV,3,4,3,"4000, 8000, 12000",-10.88161005085193,2.5962959505844947,13.477906001436423,-6.575549397490249,-5.5769639701250435,0.9985854273652057,False
r_CH3OH,GHSV,4,2,3,"4000, 8000, 12000",0.7714596264991329,9.273781916116393,8.50232228961726,-6.337489638696928,-5.404861864755636,0.9326277739412916,False
r_CH3OH,GHSV,4,3,3,"4000, 8000, 12000",-1.3994296676017288,10.935767471216272,12.335197138818,-6.218013175959795,-5.287790514502239,0.9302226614575559,False
r_CH3OH,GHSV,4,4,3,"4000, 8000, 12000",-2.2097002799015395,12.136013163340865,14.345713443242404,-6.255047221180135,-5.293672064468955,0.9613751567111795,False
r_CH3OH,GHSV,5,2,3,"4000, 8000, 12000",4.695956066157654,14.943694073610686,10.247738007453032,-6.08974666443738,-5.182409432732923,0.9073372317044566,False
r_CH3OH,GHSV,5,3,3,"4000, 8000, 12000",3.7515414488680148,17.17259823487957,13.421056786011555,-6.009538813606349,-5.090738113510818,0.9188007000955309,False
r_CH3OH,GHSV,5,4,3,"4000, 8000, 12000",6.41431770399186,16.96647442427699,10.55215672028513,-6.0209620644961594,-5.095431222408956,0.9255308420872037,False
r_CH3OH,GHSV,6,2,3,"4000, 8000, 12000",11.376548556044414,16.05266703194749,4.676118475903076,-5.937321275940764,-5.013790705821877,0.9235305701188876,False
r_CH3OH,GHSV,6,3,3,"4000, 8000, 12000",8.106062220244505,18.82593791987381,10.719875699629304,-5.914294326131599,-4.9476873681532085,0.9666069579783905,False
r_CH3OH,GHSV,6,4,3,"4000, 8000, 12000",7.891267271432859,18.46346396446587,10.57219669303301,-5.95953264629962,-4.97118998035068,0.9883426659489407,False
r_CH3OH,GHSV,7,2,3,"4000, 8000, 12000",11.251258806949952,17.265398713042053,6.014139906092101,-5.875256902446974,-4.940252624303801,0.9350042781431736,False
r_CH3OH,GHSV,7,3,3,"4000, 8000, 12000",9.938323990876935,19.46225311235932,9.523929121482386,-5.796727445451964,-4.8582911056845965,0.9384363397673674,False
r_CH3OH,GHSV,7,4,3,"4000, 8000, 12000",8.495790176680762,19.767907681676025,11.272117504995263,-5.861101127049924,-4.89157413952087,0.9695269875290542,False
