fit,model,HC,p,GHSV,T,XCO2,fCO2,fH2,fCH3OH,fH2O,fCO,KfA,KfB,KfC,rCH3OH,rCO,rCO2,Tave_used,rCH3OH_pred,rCO_pred,rCH3OH_residual,rCO_residual,rCH3OH_relative_error_%,rCO_relative_error_%,beta_CH3OH,beta_RWGS,drive_CH3OH_raw,drive_RWGS_raw,drive_CH3OH_used,drive_RWGS_used,r1_forward,r1_reverse,r2_forward,r2_reverse
GHSV_4000_simple_powerlaw,simple_powerlaw,3.0,3.0,4000.0,493.15,0.2,0.560793819229847,2.20724667931549,0.0850586695986187,0.0954908548535958,0.0648358285885327,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00156666666666667,0.000814285714285714,0.00238095238095238,507.1499999999998,0.0014517016448116224,0.0008240734829665762,-0.00011496502185504758,9.78776868086216e-06,-7.338192884364723,1.2020066801058797,,,,,,,,,,
GHSV_4000_simple_powerlaw,simple_powerlaw,2.0,3.0,4000.0,493.15,0.146,0.74905636618302,1.94208390077618,0.0745754885617567,0.0929904701200542,0.0740651957354812,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00137888888888889,0.000938571428571429,0.00231746031746032,507.1499999999998,0.0014821688574729406,0.0009384740894653697,0.0001032799685840506,-9.733910605932289e-08,7.490086359842503,-0.010370985424889801,,,,,,,,,,
GHSV_4000_simple_powerlaw,simple_powerlaw,2.0,3.0,4000.0,503.15,0.165,0.751132661998893,1.90953516084263,0.0823230116660996,0.10582369725309,0.0877996348983503,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00150333333333333,0.00111571428571429,0.00261904761904762,507.1499999999998,0.0014304333613880324,0.001094821211762695,-7.289997194529765e-05,-2.0893073951594975e-05,-4.849222080618479,-1.872618664035394,,,,,,,,,,
GHSV_4000_simple_powerlaw,simple_powerlaw,2.0,3.0,4000.0,513.15,0.173,0.755237232256792,1.89858943714798,0.081209342413354,0.112884116510321,0.0993577050416359,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00147187301587302,0.00127415873015873,0.00274603174603175,507.1499999999998,0.0013886277371107515,0.0012635720915537992,-8.32452787622685e-05,-1.05866386049308e-05,-5.655737816002611,-0.830872822541659,,,,,,,,,,
GHSV_4000_simple_powerlaw,simple_powerlaw,2.0,3.0,4000.0,523.15,0.175,0.758797141626292,1.90278156380801,0.0722486704313257,0.116329967596942,0.112912248495938,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00130555555555556,0.00146944444444444,0.00277777777777778,507.1499999999998,0.0013532205508631925,0.0014444744229045868,4.766499530763253e-05,-2.497002153985326e-05,3.6509358107973733,-1.6992831293662005,,,,,,,,,,
GHSV_4000_simple_powerlaw,simple_powerlaw,2.0,3.0,4000.0,533.15,0.175,0.761154246830242,1.91210685984022,0.0599567921735032,0.118351868316126,0.127819887716798,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00108333333333333,0.00169166666666667,0.00277777777777778,507.1499999999998,0.0013208895860427187,0.0016401682444319705,0.00023755625270938867,-5.149842223469954e-05,21.928269480866714,-3.0442417084551394,,,,,,,,,,
GHSV_4000_simple_powerlaw,simple_powerlaw,2.0,4.0,4000.0,493.15,0.15,0.939680850752076,2.64336686428863,0.105341112753134,0.107063153385365,0.0916251834406177,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00156428571428571,0.000816666666666667,0.00238095238095238,507.1499999999998,0.0017488589793816808,0.0008434788357752425,0.00018457326509597094,2.6812169108575423e-05,11.799204161386303,3.283122747988826,,,,,,,,,,
GHSV_4000_simple_powerlaw,simple_powerlaw,2.0,4.0,4000.0,503.15,0.183,0.943077234519084,2.55817154752984,0.129799468027121,0.128233941519794,0.11382175379073,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00189390476190476,0.00101085714285714,0.00290476190476191,507.1499999999998,0.0016783968872828125,0.000992184296706649,-0.00021550787462194755,-1.8672846150490996e-05,-11.37902385361788,-1.847228986057622,,,,,,,,,,
GHSV_4000_simple_powerlaw,simple_powerlaw,2.0,4.0,4000.0,513.15,0.194,0.953666149548263,2.52939593258282,0.135683868278811,0.138712810027301,0.125307360641759,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00195539682539683,0.00112088888888889,0.00307936507936508,507.1499999999998,0.0016282063329021786,0.00114983922662728,-0.0003271904924946516,2.8950337738390015e-05,-16.732690175471223,2.582801741133127,,,,,,,,,,
GHSV_4000_simple_powerlaw,simple_powerlaw,2.0,4.0,4000.0,523.15,0.195,0.964515318090775,2.53278572712501,0.127249503178423,0.144147941798817,0.13998573360145,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00182,0.00127214285714286,0.0030952380952381,507.1499999999998,0.0015886353905825486,0.0013169832802397605,-0.00023136460941745136,4.48404230969006e-05,-12.712341176783044,3.524794628616547,,,,,,,,,,
GHSV_4000_simple_powerlaw,simple_powerlaw,2.0,4.0,4000.0,533.15,0.195,0.972010113502497,2.54383189741409,0.113247919454479,0.14837401080663,0.159787957188792,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00161261904761905,0.00147952380952381,0.0030952380952381,507.1499999999998,0.0015520540225504528,0.001497365932390186,-6.056502506859721e-05,1.7842122866376046e-05,-3.755693271638977,1.2059368528931345,,,,,,,,,,
GHSV_4000_simple_powerlaw,simple_powerlaw,2.0,5.0,4000.0,493.15,0.172,1.09565208038083,3.31607998281118,0.153064798921119,0.122244959671217,0.117403181020848,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00195206349206349,0.000778095238095238,0.00273015873015873,507.1499999999998,0.0019690944277811584,0.0007775161079659098,1.7030935717668406e-05,-5.791301293282206e-07,0.8724580827883484,-0.07442920878759263,,,,,,,,,,
