fit,model,GHSV,n_data,Tave_K,DE_success,DE_objective,LS_success,LS_cost,ln_k1_ref,k1_ref,E1_J_per_mol,E1_kJ_per_mol,n1_CO2,n1_H2,ln_k2_ref,k2_ref,E2_J_per_mol,E2_kJ_per_mol,n2_CO2,n2_H2,n_params_near_bounds,near_bound_params,ln_k1f_ref,k1f_ref,E1f_J_per_mol,E1f_kJ_per_mol,n1f_CO2,n1f_H2,ln_k1r_ref,k1r_ref,E1r_J_per_mol,E1r_kJ_per_mol,n1r_CH3OH,n1r_H2O,ln_k2f_ref,k2f_ref,E2f_J_per_mol,E2f_kJ_per_mol,n2f_CO2,n2f_H2,ln_k2r_ref,k2r_ref,E2r_J_per_mol,E2r_kJ_per_mol,n2r_CO,n2r_H2O
GHSV_4000_simple_powerlaw,simple_powerlaw,4000.0,15,507.1499999999998,True,0.18343546494832752,True,0.09171773204586968,-6.730925451417342,0.0011934279872992822,-6189.6685028158545,-6.189668502815855,0.2332159935885896,0.36517655914349256,-6.366699758198574,0.001717819099351374,29882.330702938925,29.882330702938926,0.2233972390423425,-0.5104591885174593,0,,,,,,,,,,,,,,,,,,,,,,,,,
GHSV_4000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,4000.0,15,507.1499999999998,True,0.43720348493770517,True,0.21860174153423123,-5.919115131587151,0.0026875772773279974,57143.445109386084,57.143445109386086,-0.25283447019840827,0.1217620155216226,-4.674463460865489,0.00933052998944392,38820.19369310709,38.820193693107086,-0.06007068608665953,-1.119588781760343,0,,,,,,,,,,,,,,,,,,,,,,,,,
GHSV_4000_reversible_rf_minus_rr,reversible_rf_minus_rr,4000.0,15,507.1499999999998,False,0.017506336153759,True,0.006069511277746348,,,,,,,,,,,,,0,,-6.139939822090533,0.002155053300998003,51935.51419341007,51.93551419341007,-0.15235739104179116,0.5387784629043421,-8.820991405255114,0.00014760195431705357,123753.35205583122,123.75335205583121,0.7574888587827334,-1.9531302739974818,-6.110177558122937,0.0022201565709655427,32976.62758196616,32.97662758196616,-0.2858832249132946,-0.4460876447136642,-10.736173390070933,2.1743985007181297e-05,85517.23356626777,85.51723356626776,-1.9824355136527485,0.6114987624425505
GHSV_8000_simple_powerlaw,simple_powerlaw,8000.0,20,505.6499999999999,True,0.21532855698266173,True,0.10766427816867792,-6.335473323561508,0.0017723067654875592,5217.5630040955,5.2175630040955,0.11628783862735213,0.5312020679394766,-5.829876300479319,0.0029384404414172513,37151.27548321271,37.15127548321271,0.319137804706449,-0.34210899259666755,0,,,,,,,,,,,,,,,,,,,,,,,,,
GHSV_8000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,8000.0,20,505.6499999999999,True,0.8236934724401334,True,0.4118467356578156,-5.6101482600016075,0.0036605266078171897,60736.06882780808,60.736068827808076,-0.054067509808259855,0.21033728017419095,-4.731678060602322,0.008811672106643385,71402.7137812689,71.4027137812689,0.2645927152135655,-0.4667859909291687,0,,,,,,,,,,,,,,,,,,,,,,,,,
GHSV_8000_reversible_rf_minus_rr,reversible_rf_minus_rr,8000.0,20,505.6499999999999,False,0.035782304673797054,True,0.010395090917042082,,,,,,,,,,,,,0,,1.5529128660391127,4.725214071415572,88253.31511399349,88.2533151139935,8.225953656253321e-05,0.000987015929113344,1.5535437722309473,4.728196178847077,88296.4704525778,88.29647045257781,0.0005171330962079598,-0.0003621174724871873,-5.80925823450407,0.0029996542873509413,63574.878968768666,63.574878968768665,0.30091518115990457,-0.1330475334274543,-4.966025878496526,0.006970795850153367,119784.7672829831,119.7847672829831,0.7139043413554136,0.5753611197469433
GHSV_12000_simple_powerlaw,simple_powerlaw,12000.0,23,504.0195652173912,True,0.20635093646376781,True,0.10317546786553847,-5.933723044176672,0.0026486027447316664,7285.681630439104,7.285681630439104,0.18116751821457686,0.46060318785100823,-5.603795862305414,0.003683853741780385,48885.45020440765,48.885450204407654,0.37484551500965224,-0.2650913621947993,0,,,,,,,,,,,,,,,,,,,,,,,,,
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,12000.0,23,504.0195652173912,True,0.8117737843260393,True,0.4058868905098529,-5.444854428095904,0.004318468609576853,58201.94611074033,58.20194611074033,-0.02352932807707731,0.27824373568883654,-4.805250779516292,0.008186647713368309,96506.58811960283,96.50658811960284,0.4002177791944909,-0.26355073216666736,0,,,,,,,,,,,,,,,,,,,,,,,,,
GHSV_12000_reversible_rf_minus_rr,reversible_rf_minus_rr,12000.0,23,504.0195652173912,False,0.03801994374462397,True,0.015450358200767827,,,,,,,,,,,,,0,,-5.028020873315605,0.006551764519558195,59902.13517465465,59.90213517465465,0.06996288275849319,0.3444170925317198,-4.725941882621388,0.008862362672217418,83246.56407392403,83.24656407392403,-0.006844015980591942,0.28821191109590255,-5.509502174633427,0.004048122139570243,87025.70706347459,87.02570706347458,0.30401564605961745,-0.07172316589480175,-5.457231737520103,0.00426534701672748,147086.461434845,147.086461434845,0.305900415987849,0.4512671698266354
