fit,species,R2,RMSE,MRE_%
GHSV_4000,CH3OH,0.6907985007161052,0.00018340031202729247,9.226072079267418
GHSV_4000,CO,0.9935312440382346,2.3901683189448885e-05,1.727139612486394
GHSV_4000,CO2,0.5634096434634641,0.00017316332059202628,5.277216623189989
GHSV_8000,CH3OH,0.7497093754872988,0.00029053275956166544,7.464217070833809
GHSV_8000,CO,0.9682041517829607,0.00010821133664030263,3.890935733373513
GHSV_8000,CO2,0.825720913354814,0.00032399967142080307,5.2963235260116965
GHSV_12000,CH3OH,0.8255422280989365,0.0003170989755446852,5.618351083433035
GHSV_12000,CO,0.9593917627519921,0.00021214018760904398,5.10515003272468
GHSV_12000,CO2,0.8718895713908554,0.00045655645808042976,4.888496492923017
