fit,HC,p,GHSV,T,XCO2,fCO2,fH2,fCH3OH,fH2O,fCO,KfA,KfB,KfC,rCH3OH,rCO,rCO2,Tave_used,rCH3OH_pred,rCO_pred,rCO2_pred,rCH3OH_residual,rCO_residual,rCO2_residual,rCH3OH_relative_error_%,rCO_relative_error_%,rCO2_relative_error_%
GHSV_4000,3.0,3.0,4000.0,493.15,0.2,0.560793819229847,2.20724667931549,0.0850586695986187,0.0954908548535958,0.0648358285885327,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00156666666666667,0.000814285714285714,0.00238095238095238,507.1499999999998,0.001461957320698118,0.0008242540901399574,0.0022862114108380756,-0.0001047093459685519,9.96837585424341e-06,-9.474097011430427e-05,-6.683575274588405,1.2241865084158576,-3.9791207448007815
GHSV_4000,2.0,3.0,4000.0,493.15,0.146,0.74905636618302,1.94208390077618,0.0745754885617567,0.0929904701200542,0.0740651957354812,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00137888888888889,0.000938571428571429,0.00231746031746032,507.1499999999998,0.0014947471639387706,0.0009387885552628385,0.002433535719201609,0.00011585827504988059,2.1712669140948066e-07,0.00011607540174128888,8.40229230821051,0.023133741854891383,5.008733088836432
GHSV_4000,2.0,3.0,4000.0,503.15,0.165,0.751132661998893,1.90953516084263,0.0823230116660996,0.10582369725309,0.0877996348983503,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00150333333333333,0.00111571428571429,0.00261904761904762,507.1499999999998,0.0014506140934715766,0.0010953447350113001,0.002545958828482877,-5.2719239861753406e-05,-2.0369550702989837e-05,-7.308879056474281e-05,-3.506823050670966,-1.8256959656969056,-2.7906629124719973
GHSV_4000,2.0,3.0,4000.0,513.15,0.173,0.755237232256792,1.89858943714798,0.081209342413354,0.112884116510321,0.0993577050416359,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00147187301587302,0.00127415873015873,0.00274603174603175,507.1499999999998,0.0014158225450084038,0.0012643518974932175,0.0026801744425016213,-5.605047086461616e-05,-9.806832665512502e-06,-6.585730353012888e-05,-3.808105064781736,-0.7696711903618793,-2.3982717470509325
GHSV_4000,2.0,3.0,4000.0,523.15,0.175,0.758797141626292,1.90278156380801,0.0722486704313257,0.116329967596942,0.112912248495938,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00130555555555556,0.00146944444444444,0.00277777777777778,507.1499999999998,0.0013869086931284267,0.0014455589204530027,0.0028324676135814296,8.135313757286666e-05,-2.3885523991437445e-05,5.468983580364951e-05,6.231304154517425,-1.6254798935571844,1.9688340889313805
GHSV_4000,2.0,3.0,4000.0,533.15,0.175,0.761154246830242,1.91210685984022,0.0599567921735032,0.118351868316126,0.127819887716798,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00108333333333333,0.00169166666666667,0.00277777777777778,507.1499999999998,0.0013605570543624556,0.0016416098287958562,0.003002166883158312,0.00027722372102912556,-5.005683787081389e-05,0.00022438910538053174,25.58988194115013,-2.9590248987673173,8.078007793699136
GHSV_4000,2.0,4.0,4000.0,493.15,0.15,0.939680850752076,2.64336686428863,0.105341112753134,0.107063153385365,0.0916251834406177,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00156428571428571,0.000816666666666667,0.00238095238095238,507.1499999999998,0.0017674511487278388,0.0008438469804962323,0.0026112981292240713,0.00020316543444212892,2.718031382956522e-05,0.00023034574827169143,12.987744667533391,3.328201693416148,9.674521427411044
GHSV_4000,2.0,4.0,4000.0,503.15,0.183,0.943077234519084,2.55817154752984,0.129799468027121,0.128233941519794,0.11382175379073,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00189390476190476,0.00101085714285714,0.00290476190476191,507.1499999999998,0.0017056365675959836,0.0009927592768804625,0.0026983958444764464,-0.00018826819430877643,-1.8097865976677424e-05,-0.00020636606028546362,-9.940742433079325,-1.7903485279358724,-7.104405354089718
GHSV_4000,2.0,4.0,4000.0,513.15,0.194,0.953666149548263,2.52939593258282,0.135683868278811,0.138712810027301,0.125307360641759,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00195539682539683,0.00112088888888889,0.00307936507936508,507.1499999999998,0.0016635996015400137,0.0011506679127819062,0.0028142675143219198,-0.00029179722385681644,2.9779023893016215e-05,-0.0002650975650431604,-14.922660202110066,2.656732900844029,-8.608838452432527
GHSV_4000,2.0,4.0,4000.0,523.15,0.195,0.964515318090775,2.53278572712501,0.127249503178423,0.144147941798817,0.13998573360145,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00182,0.00127214285714286,0.0030952380952381,507.1499999999998,0.0016316842363276927,0.001318112012968677,0.0029497962492963698,-0.00018831576367230735,4.596915582581718e-05,-0.00014544184594173035,-10.34701998199491,3.6135215135398044,-4.698890407348204
GHSV_4000,2.0,4.0,4000.0,533.15,0.195,0.972010113502497,2.54383189741409,0.113247919454479,0.14837401080663,0.159787957188792,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00161261904761905,0.00147952380952381,0.0030952380952381,507.1499999999998,0.0016021424772509622,0.0014988439903777287,0.003100986467628691,-1.0476570368087761e-05,1.9320180853918834e-05,5.748372390590884e-06,-0.6496618270481106,1.3058377789903297,0.18571664646524363
GHSV_4000,2.0,5.0,4000.0,493.15,0.172,1.09565208038083,3.31607998281118,0.153064798921119,0.122244959671217,0.117403181020848,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00195206349206349,0.000778095238095238,0.00273015873015873,507.1499999999998,0.0019929823758935154,0.0007779092156313113,0.0027708915915248267,4.091888383002547e-05,-1.8602246392666194e-07,4.073286136609686e-05,2.096186112613114,-0.02390741580452816,1.4919594570140131
GHSV_4000,2.0,5.0,4000.0,503.15,0.2,1.1108292879653,3.21376186438236,0.181028849196974,0.140220550170871,0.137106395320809,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00226666666666667,0.000907936507936508,0.00317460317460317,507.1499999999998,0.0019289612591619069,0.0009166024208302873,0.0028455636799921942,-0.000337705407504763,8.665912893779273e-06,-0.0003290394946109756,-14.898767978151287,0.9544624341050597,-10.364744080245746
GHSV_4000,2.0,6.0,4000.0,493.15,0.175,1.23473465176759,4.07551673792331,0.178516701087429,0.12262818799456,0.14048335987893,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00204722222222222,0.000730555555555556,0.00277777777777778,507.1499999999998,0.0022123081022703424,0.0007191700552138575,0.0029314781574841997,0.00016508588004812263,-1.138550034169856e-05,0.00015370037970641962,8.063896447398129,-1.5584715296621594,5.533213669431102
GHSV_4000,2.0,7.0,4000.0,493.15,0.181,1.35152023365241,4.8541209747411,0.205630533702512,0.119576159105776,0.1639562734798,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00218636507936508,0.000686650793650794,0.00287301587301587,507.1499999999998,0.0024107390409712076,0.0006712120122747424,0.00308195105324595,0.00022437396160612756,-1.5438781376051532e-05,0.00020893518023007993,10.262419745163772,-2.2484181943439427,7.2723294776215734
GHSV_8000,3.0,3.0,8000.0,493.15,0.166,0.574595062764135,2.24893194091177,0.0679131929995,0.0818620912435253,0.0563670945763405,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00251766666666667,0.00143471428571429,0.00395238095238095,505.6499999999999,0.0024782552957158905,0.0014973721836472429,0.003975627479363133,-3.9411370950779255e-05,6.265789793295285e-05,2.3246526982182922e-05,-1.565392729410004,4.367273578917342,0.5881651405130621
GHSV_8000,3.0,3.0,8000.0,503.15,0.197,0.566700711895646,2.21364890041136,0.0757083489939579,0.0970930211215486,0.0751432336164786,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00277207142857143,0.00191840476190476,0.00469047619047619,505.6499999999999,0.0025342193485298997,0.001793722127131527,0.004327941475661427,-0.00023785208004153046,-0.00012468263477323298,-0.00036253471481476323,-8.580301271822064,-6.499287181159681,-7.7291665087411445
GHSV_8000,3.0,4.0,8000.0,493.15,0.188,0.721880606938181,3.04030831631262,0.10120619417731,0.102527536201084,0.0821827470516529,0.00452933106085853,0.00678574513977512,0.678980987327082,0.003008,0.00146819047619048,0.00447619047619048,505.6499999999999,0.003005067777847097,0.0014489994020534327,0.004454067179900529,-2.932222152903039e-06,-1.9191074137047195e-05,-2.2123296289950668e-05,-0.09748078965768082,-1.307124276329755,-0.4942438532861315
GHSV_8000,4.0,3.0,8000.0,493.15,0.198,0.455183143502437,2.41865697786215,0.0664027214220217,0.078883705807796,0.0516021742422355,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00246281357142857,0.00131450785714286,0.00377732142857143,505.6499999999999,0.0025115498749626783,0.0013527766808187993,0.0038643265557814777,4.873630353410818e-05,3.826882367593924e-05,8.700512721004786e-05,1.9788872409793645,2.9112662558836426,2.3033551381660655
GHSV_8000,2.0,3.0,8000.0,493.15,0.12,0.760434034903676,1.9849181972499,0.0607727398573452,0.0791297038851,0.0605525866431236,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00225904761904762,0.00155047619047619,0.00380952380952381,505.6499999999999,0.0023889979173423847,0.001714506995624022,0.0041035049129664065,0.00012995029829476453,0.000164030805147832,0.0002939811034425965,5.752437319119,10.579382395898259,7.717003965368158
GHSV_8000,2.0,3.0,8000.0,503.15,0.148,0.756729911028551,1.94277575301882,0.0684587092128317,0.0967940005002002,0.0850373942873899,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00251365079365079,0.00218476190476191,0.0046984126984127,505.6499999999999,0.00243785321456218,0.002063948125819604,0.004501801340381784,-7.579757908861024e-05,-0.00012081377894230562,-0.00019661135803091586,-3.0154379152452964,-5.529837309913714,-4.184633633766113
GHSV_8000,2.0,3.0,8000.0,513.15,0.164,0.756883196414757,1.91933790763023,0.0708034080216116,0.107893472831165,0.101664138622013,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00257714285714286,0.00262920634920635,0.00520634920634921,505.6499999999999,0.0024988277936998497,0.0024632100089355853,0.0049620378026354345,-7.83150634430102e-05,-0.00016599634027076454,-0.0002443114037137756,-3.038832838697732,-6.313553149636659,-4.692566595721906
GHSV_8000,2.0,3.0,8000.0,523.15,0.172,0.758436609826151,1.91120785591395,0.0669313227111449,0.114585076115872,0.116131721659368,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00242438095238095,0.00303593650793651,0.00546031746031746,505.6499999999999,0.0025699756493547396,0.0029139680068528974,0.005483943656207637,0.00014559469697378964,-0.00012196850108361261,2.3626195890177025e-05,6.005438082278412,-4.017491827143419,0.43268905263986995
GHSV_8000,2.0,3.0,8000.0,533.15,0.175,0.76053021978974,1.91337127019294,0.0586951603458125,0.118265458494626,0.129362171651756,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00212222222222222,0.00342777777777778,0.00555555555555556,505.6499999999999,0.0026482222416930727,0.0034200833726445185,0.006068305614337591,0.0005260000194708529,-7.694405133261504e-06,0.0005127500587820306,24.785341231610897,-0.22447211085689947,9.229501058076545
