fit,model,GHSV,n_data,Tave_K,DE_success,DE_objective,LS_success,LS_cost,ln_k1_ref,k1_ref,E1_J_per_mol,E1_kJ_per_mol,n1_CO2,n1_H2,ln_k2_ref,k2_ref,E2_J_per_mol,E2_kJ_per_mol,n2_CO2,n2_H2,n_params_near_bounds,near_bound_params,ln_k1f_ref,k1f_ref,E1f_J_per_mol,E1f_kJ_per_mol,n1f_CO2,n1f_H2,ln_k1r_ref,k1r_ref,E1r_J_per_mol,E1r_kJ_per_mol,n1r_CH3OH,n1r_H2O,ln_k2f_ref,k2f_ref,E2f_J_per_mol,E2f_kJ_per_mol,n2f_CO2,n2f_H2,ln_k2r_ref,k2r_ref,E2r_J_per_mol,E2r_kJ_per_mol,n2r_CO,n2r_H2O
GHSV_12000_simple_powerlaw,simple_powerlaw,12000.0,23,504.0195652173912,True,0.20635093646376781,True,0.10317546786553847,-5.933723044176672,0.0026486027447316664,7285.681630439104,7.285681630439104,0.18116751821457686,0.46060318785100823,-5.603795862305414,0.003683853741780385,48885.45020440765,48.885450204407654,0.37484551500965224,-0.2650913621947993,0,,,,,,,,,,,,,,,,,,,,,,,,,
GHSV_12000_powerlaw_1_minus_beta,powerlaw_1_minus_beta,12000.0,23,504.0195652173912,True,0.8117737843260393,True,0.4058868905098529,-5.444854428095904,0.004318468609576853,58201.94611074033,58.20194611074033,-0.02352932807707731,0.27824373568883654,-4.805250779516292,0.008186647713368309,96506.58811960283,96.50658811960284,0.4002177791944909,-0.26355073216666736,0,,,,,,,,,,,,,,,,,,,,,,,,,
GHSV_12000_reversible_rf_minus_rr,reversible_rf_minus_rr,12000.0,23,504.0195652173912,False,0.03801994374462397,True,0.015450358200767827,,,,,,,,,,,,,0,,-5.028020873315605,0.006551764519558195,59902.13517465465,59.90213517465465,0.06996288275849319,0.3444170925317198,-4.725941882621388,0.008862362672217418,83246.56407392403,83.24656407392403,-0.006844015980591942,0.28821191109590255,-5.509502174633427,0.004048122139570243,87025.70706347459,87.02570706347458,0.30401564605961745,-0.07172316589480175,-5.457231737520103,0.00426534701672748,147086.461434845,147.086461434845,0.305900415987849,0.4512671698266354
