species,R2,RMSE,MRE_%
CH3OH,0.2715040125265882,0.0010121946693653215,31.266562574070853
CO,0.3143736198331881,0.0008556748549156582,36.96113584514667
CO2,0.1267837892814534,0.0018179067469730834,32.993465600528324
