HC,p,GHSV,T,XCO2,fCO2,fH2,fCH3OH,fH2O,fCO,KfA,KfB,KfC,rCH3OH,rCO,rCO2,rCH3OH_pred,rCO_pred,rCO2_pred,rCH3OH_residual,rCO_residual,rCO2_residual,rCH3OH_relative_error_%,rCO_relative_error_%,rCO2_relative_error_%
3.0,3.0,4000.0,493.15,0.2,0.560793819229847,2.20724667931549,0.0850586695986187,0.0954908548535958,0.0648358285885327,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00156666666666667,0.000814285714285714,0.00238095238095238,0.0025970856724758587,0.001516651425575335,0.004113737098051193,0.0010304190058091887,0.0007023657112896209,0.0017327847170988133,65.77142590271403,86.25543822854996,72.77695811815019
3.0,3.0,8000.0,493.15,0.166,0.574595062764135,2.24893194091177,0.0679131929995,0.0818620912435253,0.0563670945763405,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00251766666666667,0.00143471428571429,0.00395238095238095,0.0026266555478852444,0.0015154330218146472,0.004142088569699892,0.00010898888121857464,8.071873610035712e-05,0.00018970761731894152,4.3289639038226335,5.626119214403048,4.799831281563583
3.0,3.0,8000.0,503.15,0.197,0.566700711895646,2.21364890041136,0.0757083489939579,0.0970930211215486,0.0751432336164786,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00277207142857143,0.00191840476190476,0.00469047619047619,0.0027296459999242993,0.0019009021081887586,0.004630548108113058,-4.2425428647130826e-05,-1.750265371600144e-05,-5.992808236313183e-05,-1.530459432244663,-0.9123545804079048,-1.2776545478434198
3.0,4.0,8000.0,493.15,0.188,0.721880606938181,3.04030831631262,0.10120619417731,0.102527536201084,0.0821827470516529,0.00452933106085853,0.00678574513977512,0.678980987327082,0.003008,0.00146819047619048,0.00447619047619048,0.003321965456893487,0.0015547776691616807,0.004876743126055167,0.00031396545689348727,8.658719297120082e-05,0.00040055264986468744,10.437681412682423,5.897544928630036,8.948516645913223
3.0,3.0,12000.0,493.15,0.145,0.584213395043117,2.27159504463209,0.060739956206038,0.0730441124122807,0.0466889415700323,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00338678571428571,0.00179178571428571,0.00517857142857143,0.0026396198478199906,0.0015135051648378483,0.004153125012657839,-0.0007471658664657192,-0.00027828054944786166,-0.001025446415913591,-22.061208753601356,-15.530905689735192,-19.801723893503823
3.0,3.0,12000.0,503.15,0.182,0.573332563848061,2.23122018467632,0.0690561634038838,0.090973330051437,0.0700902025199252,0.00343810236616845,0.00823025552201525,0.424891307866832,0.0038025,0.0026975,0.0065,0.002741541632810729,0.0018996469582486198,0.004641188591059348,-0.001060958367189271,-0.00079785304175138,-0.0018588114089406515,-27.901600715036718,-29.577499230820393,-28.597098599086944
3.0,4.0,12000.0,493.15,0.166,0.73425961533496,3.07312932112907,0.0917299634472368,0.0935306576731851,0.0679954689822675,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00409664285714286,0.00183192857142857,0.00592857142857143,0.0033403550146146052,0.0015529432570333644,0.00489329827164797,-0.0007562878425282551,-0.00027898531439520566,-0.00103527315692346,-18.461161221549986,-15.229049797375453,-17.462438791480047
3.0,5.0,12000.0,493.15,0.181,0.868715705538209,3.91123407840525,0.119956870517219,0.105954714871159,0.0923137571136606,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00459610714285714,0.00186817857142857,0.00646428571428571,0.004049198859352123,0.0015904889224486003,0.005639687781800723,-0.0005469082835050168,-0.0002776896489799696,-0.0008245979324849866,-11.899380639003878,-14.86419195824649,-12.756211110264996
3.0,6.0,12000.0,493.15,0.194,0.988226028194431,4.78512543407817,0.145907941000678,0.112138198926913,0.121042614370688,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00500935714285714,0.00191921428571429,0.00692857142857143,0.004774051556684884,0.0016270712189024334,0.006401122775587317,-0.00023530558617225646,-0.00029214306681185653,-0.0005274486529841128,-4.697321022674127,-15.22201397657517,-7.612660970904719
4.0,3.0,8000.0,493.15,0.198,0.455183143502437,2.41865697786215,0.0664027214220217,0.078883705807796,0.0516021742422355,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00246281357142857,0.00131450785714286,0.00377732142857143,0.0030484688858379073,0.0016320151936365002,0.0046804840794744075,0.0005856553144093371,0.0003175073364936401,0.0009031626509029777,23.77992882626614,24.154084341782188,23.910134945665735
4.0,3.0,12000.0,493.15,0.176,0.464620515436636,2.43639272471853,0.0608890506495385,0.0713993512808168,0.042802327066142,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00339455285714286,0.00164187571428571,0.00503642857142857,0.003051180460086029,0.0016272656802977202,0.004678446140383749,-0.0003433723970568312,-1.4610033987989693e-05,-0.0003579824310448211,-10.115394030006126,-0.8898379981426132,-7.107862763618631
4.0,4.0,12000.0,493.15,0.198,0.587056912008653,3.30382541970549,0.088768995364554,0.0903667823355349,0.0629940359269672,0.00452933106085853,0.00678574513977512,0.678980987327082,0.0039661875,0.00169979464285714,0.00566598214285714,0.0038638734522364725,0.0016686128709963765,0.005532486323232849,-0.00010231404776352756,-3.118177186076359e-05,-0.00013349581962429115,-2.5796573602112245,-1.8344434718508682,-2.356093193703118
2.0,3.0,4000.0,493.15,0.146,0.74905636618302,1.94208390077618,0.0745754885617567,0.0929904701200542,0.0740651957354812,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00137888888888889,0.000938571428571429,0.00231746031746032,0.0020770755180746763,0.0013695935102113978,0.0034466690282860743,0.0006981866291857863,0.00043102208163996875,0.0011292087108257542,50.63400211661621,45.92320504535434,48.72612930275509
2.0,3.0,4000.0,503.15,0.165,0.751132661998893,1.90953516084263,0.0823230116660996,0.10582369725309,0.0877996348983503,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00150333333333333,0.00111571428571429,0.00261904761904762,0.002144683437326032,0.0017107622455049014,0.003855445682830933,0.0006413501039927018,0.0005950479597906114,0.0012363980637833134,42.661869445190895,53.33336387367815,47.2079260717265
2.0,3.0,4000.0,513.15,0.173,0.755237232256792,1.89858943714798,0.081209342413354,0.112884116510321,0.0993577050416359,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00147187301587302,0.00127415873015873,0.00274603174603175,0.002233565934090014,0.002122941308981382,0.004356507243071395,0.000761692918216994,0.0008487825788226519,0.0016104754970396452,51.749907091353734,66.61513661778338,58.64737359161705
2.0,3.0,4000.0,523.15,0.175,0.758797141626292,1.90278156380801,0.0722486704313257,0.116329967596942,0.112912248495938,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00130555555555556,0.00146944444444444,0.00277777777777778,0.002341346983552473,0.002618440030396117,0.004959787013948591,0.0010357914279969132,0.001148995585951677,0.0021820092361708107,79.33721576146542,78.19251624623912,78.55233250214913
