fit,model,HC,p,GHSV,T,XCO2,fCO2,fH2,fCH3OH,fH2O,fCO,KfA,KfB,KfC,rCH3OH,rCO,rCO2,Tave_used,rCH3OH_pred,rCO_pred,rCH3OH_residual,rCO_residual,rCH3OH_relative_error_%,rCO_relative_error_%,beta_CH3OH,beta_RWGS,drive_CH3OH_raw,drive_RWGS_raw,drive_CH3OH_used,drive_RWGS_used,r1_forward,r1_reverse,r2_forward,r2_reverse
GHSV_12000_simple_powerlaw,simple_powerlaw,3.0,3.0,12000.0,493.15,0.145,0.584213395043117,2.27159504463209,0.060739956206038,0.0730441124122807,0.0466889415700323,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00338678571428571,0.00179178571428571,0.00517857142857143,504.0195652173912,0.0033745222677364173,0.001873604485365055,-1.226344654929254e-05,8.181877107934512e-05,-0.362096913824941,4.566325673154612,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,3.0,3.0,12000.0,503.15,0.182,0.573332563848061,2.23122018467632,0.0690561634038838,0.090973330051437,0.0700902025199252,0.00343810236616845,0.00823025552201525,0.424891307866832,0.0038025,0.0026975,0.0065,504.0195652173912,0.003455276473011858,0.002369141335701118,-0.00034722352698814173,-0.0003283586642988819,-9.131453701200309,-12.172703032395994,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,3.0,4.0,12000.0,493.15,0.166,0.73425961533496,3.07312932112907,0.0917299634472368,0.0935306576731851,0.0679954689822675,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00409664285714286,0.00183192857142857,0.00592857142857143,504.0195652173912,0.00404252211417531,0.0018840770476170863,-5.412074296755071e-05,5.214847618851626e-05,-1.32109985797728,2.8466435319500456,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,3.0,5.0,12000.0,493.15,0.181,0.868715705538209,3.91123407840525,0.119956870517219,0.105954714871159,0.0923137571136606,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00459610714285714,0.00186817857142857,0.00646428571428571,504.0195652173912,0.004657180305205502,0.0018823877264819208,6.107316234836221e-05,1.4209155053350854e-05,1.3288019719748416,0.7605886969619459,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,3.0,6.0,12000.0,493.15,0.194,0.988226028194431,4.78512543407817,0.145907941000678,0.112138198926913,0.121042614370688,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00500935714285714,0.00191921428571429,0.00692857142857143,504.0195652173912,0.005231231798843999,0.0018727329055406663,0.00022187465598685896,-4.648138017362361e-05,4.429204180485131,-2.4218963207813062,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,4.0,3.0,12000.0,493.15,0.176,0.464620515436636,2.43639272471853,0.0608890506495385,0.0713993512808168,0.042802327066142,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00339455285714286,0.00164187571428571,0.00503642857142857,504.0195652173912,0.0033434965604875206,0.0016878262675598264,-5.105629665533946e-05,4.595055327411652e-05,-1.5040654484995328,2.798662095693832,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,4.0,4.0,12000.0,493.15,0.198,0.587056912008653,3.30382541970549,0.088768995364554,0.0903667823355349,0.0629940359269672,0.00452933106085853,0.00678574513977512,0.678980987327082,0.0039661875,0.00169979464285714,0.00566598214285714,504.0195652173912,0.00401354463790391,0.0016995801570743737,4.735713790391012e-05,-2.1448578276634343e-07,1.194021661959,-0.012618335024625088,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,3.0,12000.0,493.15,0.108,0.767032028399514,2.00138664231351,0.0574825615102647,0.0724734195696207,0.0502452038852149,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00320914285714286,0.00193371428571429,0.00514285714285714,504.0195652173912,0.0033442656598791165,0.0021457563136288655,0.00013512280273625648,0.00021204202791457556,4.210557421446735,10.96553040338376,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,3.0,12000.0,503.15,0.136,0.763365487092877,1.96011402712442,0.0644535376754754,0.0904543940411071,0.0755909384491479,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00355542857142857,0.0029207619047619,0.00647619047619048,504.0195652173912,0.0034284086399726044,0.0027296584585114404,-0.00012701993145596566,-0.00019110344625045952,-3.5725631637405977,-6.542931347429986,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,3.0,12000.0,513.15,0.157,0.760484531240439,1.93041049540889,0.0675565394251555,0.104224830928745,0.0972928622360129,0.00263416709606216,0.00990326681963732,0.270512743020095,0.0036932380952381,0.00378295238095238,0.00747619047619048,504.0195652173912,0.003519491075701354,0.003436757250489078,-0.00017374701953674606,-0.0003461951304633017,-4.704462995785944,-9.151453563265449,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,3.0,12000.0,523.15,0.169,0.759827924442125,1.91636076287485,0.0651227001065533,0.112978211645812,0.114773540728458,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00354095238095238,0.00450666666666667,0.00804761904761905,504.0195652173912,0.0036234857660090336,0.004285154090127849,8.253338505665375e-05,-0.00022151257653882112,2.3308244838484793,-4.915219893612891,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,3.0,12000.0,533.15,0.174,0.761016977433744,1.91466672874203,0.0581909989561318,0.117808120722698,0.128984481930335,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00315685714285714,0.00512885714285714,0.00828571428571429,504.0195652173912,0.0037386669120157683,0.005295072614018064,0.0005818097691586283,0.00016621547116092445,18.430031605169706,3.2407896443832427,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,4.0,12000.0,493.15,0.121,0.952997856585947,2.71189037429457,0.0836044683003452,0.0912560628737352,0.0746417874784487,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00373947619047619,0.00202242857142857,0.00576190476190476,504.0195652173912,0.004000861007680673,0.0021475524982768296,0.0002613848172044824,0.0001251239268482596,6.989877830220849,6.186815624340028,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,4.0,12000.0,503.15,0.151,0.954960370052755,2.64631962322273,0.0963000319344892,0.112052517179943,0.108313406500685,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00424238095238095,0.00294809523809524,0.00719047619047619,504.0195652173912,0.004099739936140563,0.002741609096001297,-0.00014264101624038641,-0.00020648614209394303,-3.3622868347155874,-7.004052631194961,,,,,,,,,,
GHSV_12000_simple_powerlaw,simple_powerlaw,2.0,4.0,12000.0,513.15,0.173,0.958023800720462,2.59734096944018,0.104898649727723,0.12797888612989,0.13417677501934,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00456390476190476,0.00367419047619048,0.00823809523809524,504.0195652173912,0.0042073692930088636,0.0034639833394839855,-0.0003565354688958968,-0.00021020713670649466,-7.812070748538047,-5.7211823412172205,,,,,,,,,,
